Record,Tags,Comments,Search Term,URL,Date/Time - UTC+00:00 (M/d/yyyy),Date/Time - Local Time (yyyy-mm-dd),Original Search Query,Search Session Start Date/Time - UTC+00:00 (M/d/yyyy),Web Page Title,Previous Queries,Artifact,Artifact ID,Source,Location,Evidence number
40,Of interest,,do indonesian banks cooperate with us government,https://www.google.com/search?q=do+indonesian+banks+cooperate+with+us+government&rlz=1C1CHBF_enUS790US790&oq=do+indonesian+banks+cooperate+with+us+government&aqs=chrome..69i57.11054j0j4&sourceid=chrome&ie=UTF-8,4/5/2018 5:58:57 AM,,do indonesian banks cooperate with us government,,do indonesian banks cooperate with us government - Google Search,,Chrome Current Tabs,a8c3b769c0fd4c07850b9e9f37d8b4f5,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1362397,LoneWolf.E01
41,Of interest,,ruger 10-22,https://www.google.com/search?q=ruger+10-22&rlz=1C1CHBF_enUS790US790&oq=ruger+10-22&aqs=chrome..69i57j0l5.6556j1j7&sourceid=chrome&ie=UTF-8,3/28/2018 12:56:42 AM,,ruger 10-22,,Google Search,,Chrome Shortcuts,d0d2142884d9412c99d101d5df29e356,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 18),LoneWolf.E01
42,Of interest,,how to smuggle cash through airport,https://www.google.com/search?q=how+to+smuggle+cash+through+airport&rlz=1C1CHBF_enUS790US790&oq=how+to+smuggle+cash&aqs=chrome.2.69i57j0l5.6268j0j9&sourceid=chrome&ie=UTF-8,4/5/2018 5:59:29 AM,,how to smuggle cash,,how to smuggle cash through airport - Google Search,,Chrome Current Tabs,9a6cc8da422446569aff92402ed64229,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1364116,LoneWolf.E01
43,Of interest,,There would be a rifle behind every blade of grass,https://www.google.com/search?q=There+would+be+a+rifle+behind+every+blade+of+grass&rlz=1C1CHBF_enUS790US790&oq=There+would+be+a+rifle+behind+every+blade+of+grass&aqs=chrome..69i57j69i60j0l4.621j0j4&sourceid=chrome&ie=UTF-8,3/31/2018 4:14:25 AM,,There would be a rifle behind every blade of grass,,Google Search,,Chrome Shortcuts,f763556bc27246f7ad7856f1afc647b2,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 38),LoneWolf.E01
44,Of interest,,get onedrive to automatically sync with folders,https://www.google.com/search?q=get+onedrive+to+automatically+sync+with+folders&rlz=1C1CHBF_enUS790US790&oq=get+onedrive+to+automatically+sync+with+folders&aqs=chrome..69i57.8334j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 1:59:44 AM,,get onedrive to automatically sync with folders,,Google Search,,Chrome Shortcuts,d5e01b2f4fb44d7c80bbb23e7d279441,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 82),LoneWolf.E01
45,Of interest,,can i tape cash to myself and walk through tsa,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=L7zFWqCQA8fS0gK16IzADQ&q=can+i+tape+cash+to+myself+and+walk+through+tsa&oq=can+i+tape+cash+to+myself+and+walk+through+tsa&gs_l=psy-ab.3...27527.27913.0.29592.4.3.0.0.0.0.145.264.0j2.2.0....0...1.1.64.psy-ab..2.0.0....0.2_Sgs__qLKY,4/5/2018 6:03:58 AM,,can i tape cash to myself and walk through tsa,4/5/2018 6:03:27 AM,can i tape cash to myself and walk through tsa - Google Search,,Chrome Current Tabs,784ac41fbfd846e4a793ca4d46640390,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1369877,LoneWolf.E01
46,Of interest,,what percentage of gun crime gun free zones,https://www.google.com/search?q=what+percentage+of+gun+crime+gun+free+zones&rlz=1C1CHBF_enUS790US790&oq=what+percentage+of+gun+crime+gun+free+zones&aqs=chrome..69i57j0.12499j0j4&sourceid=chrome&ie=UTF-8,3/30/2018 4:34:03 AM,,what percentage of gun crime gun free zones,,Google Search,,Chrome Shortcuts,351b7ce4a6484f529920c8f5879a4b18,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 35),LoneWolf.E01
47,Of interest,,gun control great britain,https://www.google.com/search?q=gun+control+great+britain&rlz=1C1CHBF_enUS790US790&oq=gun+control+great+&aqs=chrome.0.0j69i57j0l4.3379j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 5:41:14 AM,,gun control great ,,gun control great britain - Google Search,,Chrome Current Tabs,001fd9b45dd04e83b5482e205adc4c4b,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1431686,LoneWolf.E01
48,Of interest,,bali airport,https://www.google.com/search?q=bali+airport&rlz=1C1CHBF_enUS790US790&oq=bali+airport&aqs=chrome.0.0l6.2495j1j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:54:41 PM,,bali airport,,bali airport - Google Search,,Chrome Current Tabs,5b4fdf23e1c04137b0658a13d620bdbd,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 33005,LoneWolf.E01
49,Of interest,,fnp90,https://www.google.com/search?q=fnp90&rlz=1C1CHBF_enUS790US790&oq=fnp90&aqs=chrome..69i57j0l5.3301j0j7&sourceid=chrome&ie=UTF-8,3/28/2018 1:01:11 AM,,fnp90,,Google Search,,Chrome Shortcuts,db43cee920044899ad095143d7d74903,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 20),LoneWolf.E01
50,Of interest,,submachine guns,https://www.google.com/search?q=submachine+guns&rlz=1C1CHBF_enUS790US790&oq=submachine+guns&aqs=chrome..69i57j0l5.2924j1j4&sourceid=chrome&ie=UTF-8,3/31/2018 4:42:08 AM,,submachine guns,,Google Search,,Chrome Shortcuts,a9ea0366bc5a4622b2fa51c4e2dd397b,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 41),LoneWolf.E01
51,Of interest,,is it legal to carry large sums of cash out of the country,https://www.google.com/search?q=is+it+legal+to+carry+large+sums+of+cash+out+of+the+country&rlz=1C1CHBF_enUS790US790&oq=is+it+legal+to+carry+large+sums+of+cash+out+of+the+country&aqs=chrome..69i57.9428j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 5:54:43 AM,,is it legal to carry large sums of cash out of the country,,Google Search,,Chrome Shortcuts,012f5aeed8eb4c948ed43dd879eb1133,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 92),LoneWolf.E01
52,Of interest,,federal government vs ranchers,https://www.google.com/search?q=federal+government+vs+ranchers&rlz=1C1CHBF_enUS790US790&oq=federal+government+vs+ranchers&aqs=chrome..69i57j0.5671j1j7&sourceid=chrome&ie=UTF-8,4/2/2018 12:56:05 AM,,federal government vs ranchers,,Google Search,,Chrome Shortcuts,fac57c2c3e984cf2850a0806ec5d5e56,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 60),LoneWolf.E01
53,Of interest,,tntdrive,https://www.google.com/search?q=tntdrive&rlz=1C1CHBF_enUS790US790&oq=tntdrive&aqs=chrome..69i57.1436j0j9&sourceid=chrome&ie=UTF-8,3/27/2018 11:48:18 PM,,tntdrive,,Google Search,,Chrome Shortcuts,a0dc9c99a6b446cd802d9f853421efbe,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 7),LoneWolf.E01
54,Of interest,,foldable kel tec,https://www.google.com/search?q=foldable+kel+tec&rlz=1C1CHBF_enUS790US790&oq=foldable+kel+tec&aqs=chrome..69i57j0l3.4361j0j4&sourceid=chrome&ie=UTF-8,3/31/2018 4:43:13 AM,,foldable kel tec,,Google Search,,Chrome Shortcuts,b4b49d11fc674560b3991a7051d2bba4,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 43),LoneWolf.E01
55,Of interest,,transferring money to an overseas account,https://www.google.com/search?q=transferring+money+to+an+overseas+account&rlz=1C1CHBF_enUS790US790&oq=transferring+money+to+an+overseas+account&aqs=chrome.0.0l6.6229j1j4&sourceid=chrome&ie=UTF-8,4/5/2018 5:57:11 AM,,transferring money to an overseas account,,Google Search,,Chrome Shortcuts,0e3f621f52514ce7a9d45f307a343009,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 93),LoneWolf.E01
56,Of interest,,anti-gun rally near me,https://www.google.com/search?q=anti-gun+rally+near+me&rlz=1C1CHBF_enUS790US790&oq=anti-gun+rally+near+me&aqs=chrome.0.0j69i57.6827j1j7&sourceid=chrome&ie=UTF-8,4/3/2018 6:20:24 AM,,anti-gun rally near me,,Google Search,,Chrome Shortcuts,ce3e381ad555499dab4e55e78ec26088,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 72),LoneWolf.E01
57,Of interest,,gun store near me,"https://www.google.com/search?q=gun%20store%20near%20me&rlz=1C1CHBF_enUS790US790&oq=gunstore+near+me&aqs=chrome..69i57j0l5.2969j0j4&sourceid=chrome&ie=UTF-8&npsic=0&rflfq=1&rlha=0&rllag=38791992,-77077172,6654&tbm=lcl&rldimm=8648688854728355492&ved=0ahUKEwiS6NCvj5faAhUV12MKHbKtBmIQvS4IUTAA&rldoc=1&tbs=lrf:!2m4!1e17!4m2!17m1!1e2!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:10",4/5/2018 8:26:52 AM,,gunstore near me,,,,Chrome Cache Records,cc6302f79cd34ca4936f989fab68bc9a,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Cache\data_1",File Offset 1089024,LoneWolf.E01
58,Of interest,,gun control in indonesia,https://www.google.com/search?q=gun+control+in+indonesia&rlz=1C1CHBF_enUS790US790&oq=gun+control+in+indonesia&aqs=chrome..69i57.4917j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 5:51:54 AM,,gun control in indonesia,,gun control in indonesia - Google Search,,Chrome Current Tabs,057e2c911f174ea2a98f1484cee32fd9,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1424555,LoneWolf.E01
59,Of interest,,which state has the worst police response times,https://www.google.com/search?q=which+state+has+the+worst+police+response+times&rlz=1C1CHBF_enUS790US790&oq=which+state+has+the+worst+police+response+times&aqs=chrome..69i57.15363j1j4&sourceid=chrome&ie=UTF-8,3/29/2018 11:21:44 PM,,which state has the worst police response times,,Google Search,,Chrome Shortcuts,fd822f15d4724a038521e6dceb6de2ee,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 29),LoneWolf.E01
60,Of interest,,how does a us citizen get an overseas bank account,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=trrFWq_IFsqW0gKc-KugAg&q=how+does+a+us+citizen+get+an+overseas+bank+account&oq=how+does+a+us+citizen+get+an+overseas+bank+account&gs_l=psy-ab.3..33i22i29i30k1.25992.36200.0.36285.54.45.0.0.0.0.273.5314.0j26j6.32.0..2..0...1.1.64.psy-ab..22.31.5079...0j35i39k1j0i20i263k1j0i131i67k1j0i131k1j0i67k1j0i22i30k1j33i21k1j33i160k1.0.A6g0UFE1ytM,,,how does a us citizen get an overseas bank account,4/5/2018 5:57:10 AM,,,Chrome FavIcons,9f977097980a4ee78cce1ed9c04021b7,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 661)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
61,Of interest,,lone wolf,https://www.google.com/search?q=lone+wolf&rlz=1C1CHBF_enUS790US790&oq=lone+wolf&aqs=chrome..69i57j0l5.1524j1j7&sourceid=chrome&ie=UTF-8,3/30/2018 3:29:38 AM,,lone wolf,,Google Search,,Chrome Shortcuts,d983c58c6aa54dde9e046d7dd3bbc64e,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 31),LoneWolf.E01
62,Of interest,,cascades library meeting room b,https://www.google.com/search?q=cascades+library+meeting+room+b&rlz=1C1CHBF_enUS790US790&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjH3rmLwZ3aAhXqsFQKHXR5B24Q_AUICygC&biw=1366&bih=662#imgdii=mEKlKlg7CVhtCM:&imgrc=m56Z-0O5-2a7uM:,4/3/2018 6:48:01 AM,,,,cascades library meeting room b - Google Search,,Chrome Current Tabs,64c0844069ec4610a9435a2bb8447fa5,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 523031,LoneWolf.E01
63,Of interest,,"if i move my desktop to one drive, is it still on my desktop",https://www.google.com/search?q=if+i+move+my+desktop+to+one+drive%2C+is+it+still+on+my+desktop&rlz=1C1CHBF_enUS790US790&oq=if+i+move+my+desktop+to+one+drive%2C+is+it+still+on+my+desktop&aqs=chrome..69i57.8897j1j7&sourceid=chrome&ie=UTF-8,4/5/2018 2:02:44 AM,,"if i move my desktop to one drive, is it still on my desktop",,"if i move my desktop to one drive, is it still on my desktop - Google Search",,Chrome Current Tabs,08fe0633c2c3428b90c47f737ab7dfff,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1239234,LoneWolf.E01
64,Of interest,,okay we will pry it from your cold dead hands,https://www.google.com/search?q=okay+we+will+pry+it+from+your+cold+dead+hands&rlz=1C1CHBF_enUS790US790&oq=okay+we+will+pry+it+from+your+cold+dead+hands&aqs=chrome..69i57.8103j0j9&sourceid=chrome&ie=UTF-8,3/31/2018 4:22:39 AM,,okay we will pry it from your cold dead hands,,Google Search,,Chrome Shortcuts,f0bdc9c34bf444c68f0b375a3d2ef335,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 39),LoneWolf.E01
65,Of interest,,"Protect & Defend Firearm Instruction Alexandria, VA","https://www.google.com/search?vet=12ahUKEwiUxIO7j5faAhVKxGMKHU3BCnUQzKUCKAAwDXoECAAQXw..i&ei=9cm_WtT1CMqIjwPNgquoBw&tbs=lrf:!2m4!1e17!4m2!17m1!1e2!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:10&yv=2&q=Protect+%26+Defend+Firearm+Instruction+Alexandria,+VA&start=0&asearch=web_search_async&async=id:akp_wb_8648688854728355492-32609947,num:10,ui:ikp,_id:akp_wb_8648688854728355492-32609947,_pms:s,_fmt:pc",4/5/2018 8:26:52 AM,,,3/31/2018 5:48:37 PM,,,Chrome Cache Records,8e6601b0418840e7b8183680f0f6292b,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Cache\data_1",File Offset 1603072,LoneWolf.E01
66,Of interest,,nokia 3310 dual sim,https://www.google.com/search?q=nokia+3310+dual+sim&rlz=1C1CHBF_enUS790US790&oq=nokia+3310+dual+sim&aqs=chrome..69i57j69i60l2j0l3.6828j0j4&sourceid=chrome&ie=UTF-8,3/30/2018 9:16:15 PM,,nokia 3310 dual sim,,nokia 3310 dual sim - Google Search,,Chrome Current Tabs,cfc577ce2f064a37aeba3b670afb0d4a,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 297732,LoneWolf.E01
67,Of interest,,sterling va,https://www.google.com/search?q=sterling+va&rlz=1C1CHBF_enUS790US790&oq=sterling+va&aqs=chrome..69i57j0l5.1381j0j7&sourceid=chrome&ie=UTF-8,4/3/2018 6:23:26 AM,,sterling va,,Google Search,,Chrome Shortcuts,cdcf91b05f1d4f70b09bc422f5e19fc8,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 73),LoneWolf.E01
68,Of interest,,do the cops track web searches,https://www.google.com/search?q=do+the+cops+track+web+searches&rlz=1C1CHBF_enUS790US790&oq=do+the+cops+track+web+searches&aqs=chrome..69i57.8382j0j4&sourceid=chrome&ie=UTF-8,3/31/2018 8:00:14 PM,,do the cops track web searches,,Google Search,,Chrome Shortcuts,1bb8cae5e61c49309abe8281f90bfca3,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 58),LoneWolf.E01
69,Of interest,,police response times by zip code,https://www.google.com/search?q=police+response+times+by+zip+code&rlz=1C1CHBF_enUS790US790&oq=police+response+times+by+zip+code&aqs=chrome..69i57j0.12038j1j7&sourceid=chrome&ie=UTF-8,3/29/2018 11:20:17 PM,,police response times by zip code,,Google Search,,Chrome Shortcuts,db98e7271f734b2b88a2b219f24081a3,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 28),LoneWolf.E01
70,Of interest,,sync amazon s3 from desktop?,https://www.google.com/search?q=sync+amazon+s3+from+desktop%3F&rlz=1C1CHBF_enUS790US790&oq=sync+amazon+s3+from+desktop%3F&aqs=chrome..69i57.6981j0j7&sourceid=chrome&ie=UTF-8,3/27/2018 11:47:58 PM,,sync amazon s3 from desktop?,,Google Search,,Chrome Shortcuts,ab9e55dc953045d3b121ed2bf8fd65f1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 6),LoneWolf.E01
71,Of interest,,cascades library sterling va,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=PB_DWuv_B4mM0wKAvb_wBQ&q=cascades+library+sterling+va&oq=cascades+library+ster&gs_l=psy-ab.3.0.0i20i263k1j0j0i22i30k1.899698.904138.0.906277.23.22.0.0.0.0.228.2394.0j16j1.17.0..2..0...1.1.64.psy-ab..6.17.2390...46j0i131k1j0i67k1j0i131i67k1j0i3k1j0i46k1j0i20i263i46k1j46i20i263k1.0.Orbv5COiLKA,,,cascades library ster,4/3/2018 6:29:16 AM,,,Chrome FavIcons,c651ffe7f9f340c2985bf39ddc21ee3d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 551)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
72,Of interest,,"flights to bali, indonesia",https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=FOe_Wu_uEMPgjwPFq6H4Cw&q=flights+to+bali%2C+indonesia&oq=flights+to+bali%2C+indonesia&gs_l=psy-ab.3..0l7j0i22i30k1l3.25441.30035.0.30191.24.22.0.0.0.0.310.2742.0j14j2j1.17.0....0...1.1.64.psy-ab..7.17.2737...0i67k1j35i39k1j0i10k1j0i20i263k1.0.vEgtqBSKssM,,,"flights to bali, indonesia",3/31/2018 7:52:52 PM,,,Chrome FavIcons,357e65511c884b158a3c8a6b98775669,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 382)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
73,Of interest,,"NOVA Firearms Falls Church, VA","https://www.google.com/search?vet=12ahUKEwi5nbjpj5faAhVH2WMKHcn8BvgQzKUCKAAwEHoECAAQcw..i&ei=Vsq_WrmaHceyjwPJ-ZvADw&tbs=lrf:,lf:1&yv=2&q=NOVA+Firearms+Falls+Church,+VA&start=0&asearch=web_search_async&async=id:akp_wb_16958876929977534018-85329750,num:10,ui:ikp,_id:akp_wb_16958876929977534018-85329750,_pms:s,_fmt:pc",4/5/2018 8:28:05 AM,,,3/31/2018 5:50:14 PM,,,Chrome Cache Records,59e1d15269b44c83836baeaba5e334c1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Cache\data_1",File Offset 4464896,LoneWolf.E01
74,Of interest,,Can you defend yourself from burglars in london,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=662&tbm=nws&ei=_LbFWtuZH4nU0gK22piABw&q=Can+you+defend+yourself+from+burglars+in+london&oq=Can+you+defend+yourself+from+burglars+in+london&gs_l=psy-ab.3...39784.55389.0.55583.93.65.18.2.4.0.238.6355.3j45j1.49.0....0...1c.1.64.psy-ab..26.21.1201...0.0.iPczz5s1_58,,,Can you defend yourself from burglars in london,4/5/2018 5:41:16 AM,,,Chrome FavIcons,a419d64b723d465b910cbe2d21156a0b,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 647)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
75,Of interest,,things to do in bali,https://www.google.com/search?q=things+to+do+in+bali&rlz=1C1CHBF_enUS790US790&oq=things+to+do+in+bali&aqs=chrome..69i57j0l5.2978j1j9&sourceid=chrome&ie=UTF-8,4/5/2018 5:52:24 AM,,things to do in bali,,Google Search,,Chrome Shortcuts,52fe1cdbb48a44b794c7e1e3a7aaf97a,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 90),LoneWolf.E01
76,Of interest,,indonesia,https://www.google.com/search?q=indonesia&rlz=1C1CHBF_enUS790US790&oq=indonesia&aqs=chrome..69i57j0l5.1810j0j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:42:28 PM,,indonesia,,Google Search,,Chrome Shortcuts,64a5a107d6a24a12b5153ed292469710,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 50),LoneWolf.E01
77,Of interest,,s3 desktop client,https://www.google.com/search?q=s3+desktop+client&rlz=1C1CHBF_enUS790US790&oq=s3+desktop+client&aqs=chrome..69i57j0.3528j0j4&sourceid=chrome&ie=UTF-8,3/27/2018 11:50:07 PM,,s3 desktop client,,Google Search,,Chrome Shortcuts,225897595a094508b6e6962d6433e626,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 9),LoneWolf.E01
78,Of interest,,keltec sub 2000,https://www.google.com/search?q=keltec+sub+2000&rlz=1C1CHBF_enUS790US790&oq=keltec+sub+2000&aqs=chrome..69i57j0l5.7794j1j7&sourceid=chrome&ie=UTF-8,3/28/2018 12:57:22 AM,,keltec sub 2000,,Google Search,,Chrome Shortcuts,af20cb05ceb54d49b04deed80edb63c4,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 19),LoneWolf.E01
79,Of interest,,amazon cloud storage,https://www.google.com/search?q=amazon+cloud+storage&rlz=1C1CHBF_enUS790US790&oq=amazon+cloud+storage&aqs=chrome..69i57j0l5.3373j0j7&sourceid=chrome&ie=UTF-8,3/27/2018 11:46:32 PM,,amazon cloud storage,,Google Search,,Chrome Shortcuts,ab4128e0ba8649b09025dd09e8629b3f,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 5),LoneWolf.E01
80,Of interest,,concealable tactical rifles,https://www.google.com/search?q=concealable+tactical+rifles&rlz=1C1CHBF_enUS790US790&oq=concealable+tactical+rifles&aqs=chrome..69i57j0l4.5853j0j7&sourceid=chrome&ie=UTF-8,3/31/2018 4:36:31 AM,,concealable tactical rifles,,Google Search,,Chrome Shortcuts,92a2e2ecc1ae414fb37456cb54b07b92,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 40),LoneWolf.E01
81,Of interest,,non extradition country,https://www.google.com/search?q=non+extradition+country&rlz=1C1CHBF_enUS790US790&oq=non+extradition+country&aqs=chrome..69i57j0l5.4523j1j4&sourceid=chrome&ie=UTF-8,3/31/2018 7:34:50 PM,,non extradition country,,Google Search,,Chrome Shortcuts,a82dbc2544544015b73f571f95a0885c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 47),LoneWolf.E01
82,Of interest,,shooting range near me,https://www.google.com/search?q=shooting+range+near+me&rlz=1C1CHBF_enUS790US790&oq=shooting+range+near+me&aqs=chrome.0.0l6.3096j1j7&sourceid=chrome&ie=UTF-8,3/28/2018 1:09:53 AM,,shooting range near me,,Google Search,,Chrome Shortcuts,af8cedd9524b4907b1607797237fa95a,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 22),LoneWolf.E01
